interaction_id,user_id,product_id,event_type,value,timestamp,is_synthetic
I0035,C003_partner_a,P903,view,1.0,2026-01-28T00:00:00,True
I0036,C003_partner_b,P023,view,1.0,2026-04-30T00:00:00,True
I0037,C003_partner_b,P009,view,1.0,2026-01-09T00:00:00,True
I0038,C003_partner_b,P003,purchase,1.0,2026-02-17T00:00:00,True
I0039,C003_partner_b,P020,view,1.0,2026-02-26T00:00:00,True
I0040,C003_partner_b,P013,purchase,1.0,2026-04-01T00:00:00,True
I0041,C003_partner_b,P004,view,1.0,2026-04-14T00:00:00,True
I0042,C003_partner_b,P014,rating,3.0,2026-04-15T00:00:00,True
I0043,C003_partner_b,P001,rating,4.9,2026-01-14T00:00:00,True
I0044,C003_partner_b,P901,purchase,1.0,2026-01-18T00:00:00,True
I0045,C004_partner_a,P008,view,1.0,2026-01-14T00:00:00,True
I0046,C004_partner_a,P019,rating,3.3,2026-02-06T00:00:00,True
I0047,C004_partner_a,P009,rating,4.4,2026-01-27T00:00:00,True
I0048,C004_partner_a,P015,rating,4.7,2026-03-06T00:00:00,True
I0049,C004_partner_a,P016,view,1.0,2026-04-26T00:00:00,True
I0050,C004_partner_a,P006,purchase,1.0,2026-01-07T00:00:00,True
I0051,C004_partner_a,P903,view,1.0,2026-02-24T00:00:00,True
I0052,C004_partner_b,P022,view,1.0,2026-02-12T00:00:00,True
I0053,C004_partner_b,P901,rating,4.3,2026-02-03T00:00:00,True
I0054,C004_partner_b,P025,view,1.0,2026-02-26T00:00:00,True
I0055,C004_partner_b,P017,rating,3.9,2026-01-02T00:00:00,True
I0056,C004_partner_b,P901,view,1.0,2026-05-01T00:00:00,True
I0057,C004_partner_b,P003,purchase,1.0,2026-04-26T00:00:00,True
I0058,C004_partner_b,P006,view,1.0,2026-01-05T00:00:00,True
I0059,C005_partner_a,P002,rating,3.3,2026-01-17T00:00:00,True
I0060,C005_partner_a,P010,view,1.0,2026-02-16T00:00:00,True
I0061,C005_partner_a,P011,purchase,1.0,2026-04-12T00:00:00,True
I0062,C005_partner_a,P008,purchase,1.0,2026-01-06T00:00:00,True
I0063,C005_partner_a,P024,purchase,1.0,2026-01-27T00:00:00,True
I0064,C005_partner_a,P010,rating,4.3,2026-02-15T00:00:00,True
I0065,C005_partner_a,P008,rating,4.8,2026-02-22T00:00:00,True
I0066,C005_partner_b,P016,rating,4.9,2026-01-31T00:00:00,True
I0067,C005_partner_b,P004,purchase,1.0,2026-04-13T00:00:00,True
I0068,C005_partner_b,P024,purchase,1.0,2026-04-23T00:00:00,True
I0069,C005_partner_b,P002,view,1.0,2026-01-23T00:00:00,True
I0070,C005_partner_b,P903,rating,3.7,2026-04-30T00:00:00,True
I0071,C005_partner_b,P023,view,1.0,2026-03-27T00:00:00,True
I0072,C005_partner_b,P005,purchase,1.0,2026-04-14T00:00:00,True
I0073,C005_partner_b,P001,view,1.0,2026-01-21T00:00:00,True
I0074,C005_partner_b,P024,rating,3.2,2026-04-22T00:00:00,True
I0075,C006_partner_a,P020,purchase,1.0,2026-01-29T00:00:00,True
I0076,C006_partner_a,P020,view,1.0,2026-04-28T00:00:00,True
I0077,C006_partner_a,P023,view,1.0,2026-02-09T00:00:00,True
I0078,C006_partner_a,P002,purchase,1.0,2026-04-22T00:00:00,True
I0079,C006_partner_a,P010,view,1.0,2026-01-04T00:00:00,True
I0080,C006_partner_b,P004,view,1.0,2026-02-12T00:00:00,True
I0081,C006_partner_b,P025,view,1.0,2026-01-09T00:00:00,True
I0082,C006_partner_b,P018,purchase,1.0,2026-02-05T00:00:00,True
I0083,C006_partner_b,P010,view,1.0,2026-03-07T00:00:00,True
I0084,C006_partner_b,P002,view,1.0,2026-04-18T00:00:00,True
I0085,C006_partner_b,P009,rating,4.9,2026-01-15T00:00:00,True
I0086,C006_partner_b,P010,purchase,1.0,2026-02-03T00:00:00,True
I0087,C006_partner_b,P021,view,1.0,2026-02-03T00:00:00,True
I0088,C006_partner_b,P018,view,1.0,2026-03-18T00:00:00,True
I0089,C006_partner_b,P025,view,1.0,2026-04-04T00:00:00,True
I0090,C007_partner_a,P014,view,1.0,2026-03-07T00:00:00,True
I0091,C007_partner_a,P004,view,1.0,2026-04-26T00:00:00,True
I0092,C007_partner_a,P021,rating,3.5,2026-04-01T00:00:00,True
I0093,C007_partner_a,P022,view,1.0,2026-03-08T00:00:00,True
I0094,C007_partner_a,P017,purchase,1.0,2026-03-10T00:00:00,True
I0095,C007_partner_a,P022,rating,4.9,2026-04-05T00:00:00,True
I0096,C007_partner_a,P015,rating,3.7,2026-01-09T00:00:00,True
I0097,C007_partner_b,P015,purchase,1.0,2026-03-21T00:00:00,True
I0098,C007_partner_b,P013,view,1.0,2026-04-19T00:00:00,True
I0099,C007_partner_b,P002,view,1.0,2026-04-26T00:00:00,True
I0100,C007_partner_b,P003,view,1.0,2026-02-09T00:00:00,True
I0101,C007_partner_b,P002,rating,3.7,2026-03-31T00:00:00,True
I0102,C007_partner_b,P018,view,1.0,2026-01-17T00:00:00,True
I0103,C007_partner_b,P009,view,1.0,2026-03-27T00:00:00,True
I0104,C007_partner_b,P015,purchase,1.0,2026-03-28T00:00:00,True
I0105,C007_partner_b,P901,rating,3.3,2026-03-14T00:00:00,True
I0106,C007_partner_b,P007,view,1.0,2026-03-12T00:00:00,True
I0107,C008_partner_a,P012,view,1.0,2026-01-27T00:00:00,True
I0108,C008_partner_a,P022,view,1.0,2026-03-16T00:00:00,True
I0109,C008_partner_a,P007,rating,3.6,2026-02-26T00:00:00,True
I0110,C008_partner_a,P003,view,1.0,2026-01-28T00:00:00,True
I0111,C008_partner_a,P009,rating,4.6,2026-04-12T00:00:00,True
I0112,C008_partner_b,P005,view,1.0,2026-01-11T00:00:00,True
I0113,C008_partner_b,P901,view,1.0,2026-03-26T00:00:00,True
I0114,C008_partner_b,P023,rating,3.7,2026-04-15T00:00:00,True
I0115,C008_partner_b,P018,purchase,1.0,2026-01-31T00:00:00,True
I0116,C008_partner_b,P025,rating,3.4,2026-01-26T00:00:00,True
I0117,C008_partner_b,P023,view,1.0,2026-01-06T00:00:00,True
I0118,C008_partner_b,P005,view,1.0,2026-03-02T00:00:00,True
I0119,C008_partner_b,P901,rating,4.5,2026-02-28T00:00:00,True
I0120,C008_partner_b,P015,view,1.0,2026-03-22T00:00:00,True
I0121,C008_partner_b,P023,rating,4.4,2026-02-19T00:00:00,True
I0122,C009_partner_a,P901,view,1.0,2026-01-19T00:00:00,True
I0123,C009_partner_a,P009,rating,3.0,2026-04-07T00:00:00,True
I0124,C009_partner_a,P004,purchase,1.0,2026-04-24T00:00:00,True
I0125,C009_partner_a,P008,view,1.0,2026-02-24T00:00:00,True
I0126,C009_partner_a,P013,view,1.0,2026-04-13T00:00:00,True
I0127,C009_partner_a,P024,purchase,1.0,2026-03-08T00:00:00,True
I0128,C009_partner_a,P025,view,1.0,2026-03-13T00:00:00,True
I0129,C009_partner_a,P001,view,1.0,2026-04-19T00:00:00,True
I0130,C009_partner_b,P014,view,1.0,2026-04-13T00:00:00,True
I0131,C009_partner_b,P011,view,1.0,2026-03-09T00:00:00,True
I0132,C009_partner_b,P006,purchase,1.0,2026-03-18T00:00:00,True
I0133,C009_partner_b,P003,view,1.0,2026-04-07T00:00:00,True
I0134,C009_partner_b,P009,purchase,1.0,2026-03-20T00:00:00,True
I0135,C010_partner_a,P902,purchase,1.0,2026-02-24T00:00:00,True
I0136,C010_partner_a,P010,purchase,1.0,2026-03-12T00:00:00,True
I0137,C010_partner_a,P016,view,1.0,2026-01-21T00:00:00,True
I0138,C010_partner_a,P021,rating,3.9,2026-02-03T00:00:00,True
I0139,C010_partner_a,P012,rating,4.7,2026-02-05T00:00:00,True
I0140,C010_partner_a,P902,rating,4.0,2026-03-22T00:00:00,True
I0141,C010_partner_a,P902,view,1.0,2026-02-26T00:00:00,True
I0142,C010_partner_a,P009,view,1.0,2026-02-06T00:00:00,True
I0143,C010_partner_a,P015,view,1.0,2026-02-12T00:00:00,True
I0144,C010_partner_a,P009,view,1.0,2026-03-11T00:00:00,True
I0145,C010_partner_b,P008,view,1.0,2026-01-30T00:00:00,True
I0146,C010_partner_b,P001,view,1.0,2026-01-20T00:00:00,True
I0147,C010_partner_b,P017,rating,3.1,2026-02-22T00:00:00,True
I0148,C010_partner_b,P014,view,1.0,2026-03-01T00:00:00,True
I0149,C010_partner_b,P001,view,1.0,2026-01-27T00:00:00,True
I0150,DEMO_COMPAT_partner_a,P008,view,1.0,2026-04-09T00:00:00,True
I0151,DEMO_COMPAT_partner_a,P901,rating,4.4,2026-04-20T00:00:00,True
I0152,DEMO_COMPAT_partner_a,P007,purchase,1.0,2026-03-15T00:00:00,True
I0153,DEMO_COMPAT_partner_a,P003,view,1.0,2026-01-01T00:00:00,True
I0154,DEMO_COMPAT_partner_a,P014,purchase,1.0,2026-02-08T00:00:00,True
I0155,DEMO_COMPAT_partner_a,P903,rating,4.7,2026-04-17T00:00:00,True
I0156,DEMO_COMPAT_partner_a,P007,view,1.0,2026-04-06T00:00:00,True
I0157,DEMO_COMPAT_partner_a,P020,rating,4.6,2026-04-25T00:00:00,True
I0158,DEMO_COMPAT_partner_b,P023,view,1.0,2026-02-04T00:00:00,True
I0159,DEMO_COMPAT_partner_b,P006,view,1.0,2026-01-04T00:00:00,True
I0160,DEMO_COMPAT_partner_b,P021,view,1.0,2026-03-27T00:00:00,True
I0161,DEMO_COMPAT_partner_b,P010,rating,3.8,2026-01-22T00:00:00,True
I0162,DEMO_COMPAT_partner_b,P018,purchase,1.0,2026-04-28T00:00:00,True
I0163,DEMO_COMPAT_partner_b,P018,view,1.0,2026-03-21T00:00:00,True
I0164,DEMO_CONFLICT_partner_a,P015,view,1.0,2026-02-20T00:00:00,True
I0165,DEMO_CONFLICT_partner_a,P002,rating,4.3,2026-01-11T00:00:00,True
I0166,DEMO_CONFLICT_partner_a,P024,rating,3.3,2026-03-01T00:00:00,True
I0167,DEMO_CONFLICT_partner_a,P009,view,1.0,2026-02-03T00:00:00,True
I0168,DEMO_CONFLICT_partner_a,P005,view,1.0,2026-01-28T00:00:00,True
I0169,DEMO_CONFLICT_partner_a,P001,view,1.0,2026-02-13T00:00:00,True
I0170,DEMO_CONFLICT_partner_a,P016,rating,3.8,2026-04-07T00:00:00,True
I0171,DEMO_CONFLICT_partner_a,P020,purchase,1.0,2026-02-23T00:00:00,True
I0172,DEMO_CONFLICT_partner_a,P001,view,1.0,2026-01-11T00:00:00,True
I0173,DEMO_CONFLICT_partner_b,P014,view,1.0,2026-03-11T00:00:00,True
I0174,DEMO_CONFLICT_partner_b,P007,view,1.0,2026-02-14T00:00:00,True
I0175,DEMO_CONFLICT_partner_b,P018,view,1.0,2026-01-09T00:00:00,True
I0176,DEMO_CONFLICT_partner_b,P006,rating,4.3,2026-04-07T00:00:00,True
I0177,DEMO_CONFLICT_partner_b,P019,view,1.0,2026-02-01T00:00:00,True
I0178,DEMO_CONFLICT_partner_b,P012,view,1.0,2026-01-03T00:00:00,True
I0179,DEMO_CONFLICT_partner_b,P901,rating,3.5,2026-03-02T00:00:00,True
I0180,DEMO_CONFLICT_partner_b,P005,rating,4.1,2026-01-28T00:00:00,True
